Company,Website,Country,Type,Notes
MCI Group,https://www.mcigroup.com,Switzerland,PCO / Association Mgmt,Leading PCO, 1600+ staff globally
BCD Group,https://www.bcdgroup.com,Netherlands,Events / Travel,Major events + corporate travel
CWT Meetings + Events,https://www.cwt.com,USA,Corporate Events,Large corporate events + travel
GES,https://www.ges.com,USA,Exhibitions / Events,Exhibition services giant
Clarion Events,https://www.clarionevents.com,UK,B2B Events / Conferences,Owned by Nexus
Freeman,https://www.freeman.com,USA,Experiential Marketing / Events,Major US events company
Nth Degree,https://www.nthdegree.com,USA,Events / Exhibitions,Atlanta-based full-service
Jack Morton Worldwide,https://www.jackmorton.com,USA,Experiential Events,Part of Interpublic Group
MKG,https://www.mkgcompany.com,USA,Events / Brand Experiences,New York, brand experiences
BI (Broadcasting International),https://www.bi.com,USA,Events / Meetings,Minneapolis, corporate events
GPJ (George P. Johnson),https://www.gpj.com,USA,Experiential Marketing,Detroit, Experiential events
Maritz,https://www.maritz.com,USA,Events / Incentives,Fenton MO, incentive travel
Live Business,https://www.livebusiness.com,UK,Corporate Events,London-based corporate events
Banks Sadler,https://www.bankssadler.com,UK,Event Planning,PCO + event management
Sphere,https://www.sphereevents.com,UK,Event Management,Full-service events
Capita Events,https://www.capita.co.uk,UK,Events / Venue Sourcing,Large UK events company
M Kensington,https://www.mkensington.com,UK,Corporate Events,London corporate events
Event Strategies,https://www.eventstrategies.com,UK,Corporate Events,London
MeetEvents,https://www.meetevents.com,Spain,PCO / Congress Org,Madrid-based PCO
ConferenceCare,https://www.conferencecare.com,UK,PCO / Congress,Association congress specialists
Eventful,https://www.eventful.se,Sweden,PCO / DMC,Nordic events
A Successful Event,https://www.asuccessfulevent.com,Belgium,PCO,Belgium-based congress org
Event Academy,https://www.eventacademy.com,UK,Training / Events,Event planner training
Events International,https://www.eventsinternational.com,UK,PCO,London-based conference org
PPO Servizi,https://www.pposervizi.com,Italy,PCO / DMC,Italy congress + events
Hotusa Congresos,https://www.hotusacongresos.com,Spain,PCO,Spain-based congress org
Congiunte,https://www.congiunte.it,Italy,PCO,Italy congress organization
Masterclass,https://www.masterclassevents.com,UK,Corporate Events,UK events agency
Glamour Funk,https://www.glamourfunk.com,UK,Events / Production,UK event production
Rough Draft,https://www.roughdraft.co.uk,UK,Events / Production,UK creative events
Glamuzina,https://www.glamuzina.com,Croatia,DMC / Events,Croatia events + incentives
Eventer,https://www.eventer.se,Sweden,Events,Sweden corporate events
TUI Meetings + Incentives,https://www.tui-group.com,Germany,Incentive Travel / Events,Large incentive travel
Incentive Solutions,https://www.incentivesolutions.com,USA,Incentive Travel,US incentive travel
Meeting Designs,https://www.meetingdesigns.com,USA,Corporate Meetings,US meeting planners
Access TCA,https://www.accesstca.com,USA,Corporate Events,Boston, full-service
The Meeting Company,https://www.themeetingcompany.com,UK,Corporate Events,UK meeting planners
One Allied,https://www.oneallied.com,USA,Events / Experiential,US experiential events
Mimica,https://www.mimica.co,UK,Events / Sustainability,UK sustainable events
M Booth,https://www.mbooth.com,USA,Events / PR,NYC events + PR
Fifth Street,https://www.fifthstreet.com,USA,Events / Brand,US brand experiences
Center,https://www.center.agency,USA,Events / Production,US event production
M&C Saatchi Sport + Entertainment,https://www.mcsaatchi-se.com,UK,Events / Entertainment,Events + entertainment
Spearhead,https://www.spearhead.io,UK,Events / Tech,UK tech events
Caesars Entertainment,https://www.caesars.com/business,USA,Venues / Events,Las Vegas venues
Mandalay Bay,https://www.mandalaybay.com,USA,Venues,Las Vegas convention venue
MGM Resorts,https://www.mgmresorts.com/meetings,USA,Venues / Events,Las Vegas + US venues
Hyatt Regency,https://www.hyatt.com/meetings,USA,Venues / Hotels,Global hotel meetings
Marriott International,https://www.marriott.com/meetings,USA,Venues / Hotels,Global hotel conferences
Hilton,https://www.hilton.com/en/meetings,USA,Venues / Hotels,Global meeting venues
Accor,https://www.accor.com/meetings,France,Venues / Hotels,European hotel meetings
Hilton Diageo,https://www.hiltondiageo.com,UK,Hospitality,Hospitality group
IMEX Group,https://www.imexevents.com,UK,Events Trade Show,IMEX Frankfurt + America organizers
PCMA,https://www.pcma.org,USA,Association / Education,Business events association
MPI,https://www.mpi.org,USA,Association,Meeting professionals association
ICCA,https://www.iccaworld.org,Netherlands,Association,Congress + convention association
IAPCO,https://www.iapco.org,Belgium,Association,Professional congress org association
AIPC,https://www.aipc.org,Belgium,Association,Congress centre association
UFI,https://www.ufi.org,France,Association,Exhibition industry association
ASAE,https://www.asaecenter.org,USA,Association,Association executives
Site Global,https://www.siteglobal.com,UK,Association,Incentive travel association
IAEE,https://www.iaee.com,USA,Association,Exhibition + events association
MCI Belgium,https://www.mcibelgium.be,Belgium,PCO,Belgium congress org
MCI Germany,https://www.mcigroup.com/de,Germany,PCO,Germany congress org
MCI France,https://www.mcigroup.com/fr,France,PCO,France congress org
MCI USA,https://www.mcigroup.com/us,USA,PCO,US congress org
MCI Asia,https://www.mcigroup.com/ap,Singapore,PCO,Asia Pacific congress org
Europcar,https://www.europcar.com,France,Transport / Events,Event transport logistics
Arinex,https://www.arinex.com.au,Australia,PCO,Australia + NZ congress org
Kenes Group,https://www.kenes.com,Switzerland,PCO / Medical,Medical congress specialists
 Conventus,https://www.conventus.de,Germany,PCO,Germany congress org
 Forum Events,https://www.forumevents.com,UK,Events / Awards,UK event awards organizers
 NTH Events,https://www.nthevents.com,UK,Events,UK corporate events
 Ashfield Meetings,https://www.ashfieldmeetings.com,UK,Medical Events / PCO,Healthcare meetings
 Lucid,https://www.lucidagency.com,USA,Events / Brand,US brand experiences
 HELIX,https://www.helixdtp.com,USA,Events / Data,US events + data
<spi>
