name,date,location,type,attendees,organizer,contact_email,status,outreach,notes
South Summit,2026-06-03,La Nave Madrid,Tech Conference,1200,South Summit,info@lasumnit.com,confirmed,done,Main startup/investor conference
South Summit Afterparty,2026-06-04,La Nave Madrid,Networking Afterparty,100-150,Niah / La Nave,info@lasumnit.com,confirmed,done,Niah pilot event — matching active
MWC Barcelona,2026-03-02,Barcelona Fira,Mobile/Tech,5000+,GSMA,info@mwcbarcelona.com,completed,none,Mobile World Congress — major global tech event
4YFN Barcelona,2026-03-02,Barcelona Fira,Startup Innovation,1000+,MWC/GSMA,info@4yfn.com,completed,none,Startup platform co-located with MWC
Smart City Expo World Congress,2026-11-17,Barcelona Fira,Urban Tech,3000+,Fira Barcelona,info@smartcityexpo.com,recurring,none,Smart cities + digital government
Fitbit Summit,2026-09-15,IFEMA Madrid,Health Tech,500-800,IFEMA,contact@ifema.es,target,none,Health/wearable companies — ICP match
Madrid Fashion Week,2026-09-20,IFEMA Madrid,Fashion/Retail,300-500,IFEMA,contact@ifema.es,target,none,Fashion + lifestyle brands
Madrid Startup Week,2026-10-01,Madrid City TBC,Startup Ecosystem,800-1200,Startup Madrid,info@startupmadrid.es,target,none,Founders + investors — strong ICP
European Health Forum,2026-10-10,Palacio de Cristal Madrid,Healthcare,400-600,EU Health Forum,info@ehfg.org,target,none,Policy + health tech — good corporate fit
B travel Forum Madrid,2026-11-12,Madrid Convention Bureau,Corporate Travel,300-400,B travel Group,info@btravel.com,target,none,B2B travel managers — niche ICP
Madrid Marketing Summit,2026-11-20,Círculo de Bellas Artes,Marketing/Advertising,500-700,Ades Spain,info@adesmas.com,target,none,Marketing leaders
South Summit 2027,2027-06-02,La Nave Madrid,Tech Conference,1500+,South Summit,TBC,TBD,none,Repeat opportunity — lock in early
Web Summit Lisbon,2026-11-03,Estoril Congress Center Lisbon,Tech Conference,7000+,Web Summit,info@websummit.com,recurring,none,Europe's largest startup/investor conference
Web Summit Rio,2026-04-14,Rio de Janeiro,Tech Conference,5000+,Web Summit,info@websummit.com,recurring,none,Brazil edition
Web Summit Qatar,2026-10-19,Doha Qatar,Tech Conference,3000+,Web Summit,info@websummit.com,recurring,none,Middle East edition
Money 20/20 Europe,2026-06-08,Copenhagen,Fintech,4000+,Ascential,info@money2020.com,recurring,none,Major global fintech conference
Money 20/20 USA,2026-10-06,Las Vegas,Fintech,5000+,Ascential,info@money2020.com,recurring,none,US flagship fintech event
Fintech World Congress Barcelona,2026-05-20,Barcelona,Fintech,1500+,Fintech World,info@fintechworldcongress.com,recurring,none,Barcelona-based fintech specialist
European FinTech Awards,2026-04-22,Amsterdam,Fintech Awards,800,FinTech Alliance,info@europeanfintechawards.com,recurring,none,Awards + networking night
MoneyConf Madrid,2026-06-09,Madrid,Fintech,2000+,MoneyConf,info@moneyconf.com,recurring,none,Madrid-based fintech conference
StartupGrind Madrid Annual,2026-03-25,Madrid,TStartup Community,500,Startup Grind,madrid@startupgrind.com,recurring,none,Annual flagship — monthly meetups also available
South Summit Bilbao,2026-10-28,Bilbao,Startup Conference,800,South Summit,info@southsummit.co,recurring,none,Bilbao regional edition
South Summit Bogotá,2026-09-09,Bogotá Colombia,Startup Conference,600,South Summit,info@southsummit.co,recurring,none,LATAM edition
Viva Tech Paris,2026-06-11,Paris Expo Porte de Versailles,Tech Conference,10000+,Viva Tech,info@vivatechnology.com,recurring,none,Major European tech event — 10K+ attendees
Viva Tech Paris,2027-06-10,Paris Expo Porte de Versailles,Tech Conference,10000+,Viva Tech,info@vivatechnology.com,recurring,none,Next year already scheduled
TechCrunch Disrupt SF,2026-09-21,San Francisco,Tech Conference,5000+,TechCrunch,info@techcrunch.com,recurring,none,US startup flagship
Slush Helsinki,2026-11-19,Helsinki,Startup Conference,5000+,Slush,info@slush.org,recurring,none,Nordic startup flagship
Leade.rs Lisbon,2026-11-04,Lisbon,Speaker Networking,500+,Leade.rs,info@leaders.co,recurring,none,Speaker-focused pre-Web Summit event
Barcelona Tech Show,2026-10-29,Barcelona Fira,Tech B2B,2000+,Easyfairs,info@barcelonatechshow.com,recurring,none,B2B tech procurement event
Barcelona de CEO Summit,2026-05-12,Barcelona,Executive Leadership,300,CEO Forum,info@ceoforum.com,recurring,none,Senior executives only
European Angel Summit,2026-09-23,Madrid,Angel Investing,400,EBAN,info@eban.org,recurring,none,Angel investor network event
